context,response
ckorn is moved to ppanmuenchvlc2 for vlc 115,ok maybe you can guide him to that ppa
greetings all,if i aptget kubuntu can i go back to regular ubuntu if i dont like it
varikonniemi' if it fails you are out of luck'that is why irc was invented,bash search for grub rescue disk on google
etcdefaultgrub containts the timeout setting,edit the grubtimeout value then run sudo updategrub to update grub with the changes
hey guys gots a question virus wise,anyone know if that agentbtz virus affected linux machines
as in has he come back since we last saw him,we don't keep track of every users away status pm them and see if they are there
does ubuntu have problems with fx5200 chipset and sb live,never heard of fx5200 but sblive is supported
bchunk,what is that
well linus doesnt say so,sorry i just had to say that p
it could be alot of things is this a fresh install,yup this is a fresh install
sownopen,yes could be
what is the command for checking for updates,sudo aptget upgrade
does anybody know how to make movieplayer support the wmv format,or no
i was talking with crimsun 10 minute ago,relax
can anybody help me getting my ati radeon xpress to have 3d acelleration,cause glxgears says segmentation fault
lsof,returns nothing
ok i dual booted on windows xp how do i set linux as the normal bootup,i dual booted on windows xp how do i set linux as the normal bootup
can't you alt middle click and resize them,that doesn't work for me
is there a difference between gtk2 and gtk 20,no
hi guys any girls too i was wondering if anyone knows which irc channel is ubuntu programming,ubuntuprogramming it is sleeping right now
sudo dpkgreconfigure gdm,i don't know but make a backup just in case
chat is,i do not know i use irssi
sudo rm f,d
on gnome i always used cdemu,thanks
for 3d acceleration i can a web xd,xd
already tried that got no response from the bot,hmm oh well
okay i found i can edit the 'applications' menu but not 'places',i linked varwww to mediawww but it doesn't show up under 'places'
sure,but on mac it should be a firewire drive not usb
yes reinstall them,reinstall vmware or just the modules
how can i fix it so that gdm is now default insteadd of kdm,sudo dpkgreconfigure gdm
grrr this shouldn't be so fricken hard,seriously does anyone have ff and tb working where you can click mailto links in ff whilst tb is open
ok so basically unless i want lag from running wow in wine im gonna have to dual boot,read the appdb page for wow
anyone of you using ipv6,no i disable it using boot options too
what do you think about gentoo,hi
how i change directory in gnome terminal 2241l,thank
they've been replaced by dejavu fonts,cool thank you
how do i set up a network between a windows and ubuntu comp via a crossover cable,give each a static ip or install a dhcp server on the linux box is one way
hey,how i install ubuntu 704 in text mode
how did you just type it,in macos x
how can i install a exe in ubuntu 1004,if the exe is for windows
yes i know but the virtual box needs the headers,because it needs to build a module
trying to load 804 and seems to be stuck at the partitioner loading anyone seen that,trying to load 804 and seems to be stuck at the partitioner loading anyone seen that
dropt table,sorry that's for a table not db
ho guys could you tell me where i can find the source code off any project i might want,depends on the app there's no uniform way of doing it
does anyone know what version of python ubuntu 114 runs im just curious if its 2 or 3,i believe it's runn
i have a mpg file,or avidemux if you'd like a gui
never heard of it,it's a lousy java app but it does video pretty well
alguem fala portugues,hmm that didn't work try ubuntubr
can anyone please help me,only if we know what you need help with
hello pls how do i enable cron in ubuntu,cron is installedenabled by default
who can tell how to get my 'ati technologies inc rage 128 pro ultra tf' into the 1024x768 mode,you probibly have the wrong drivers
how do you change to root in linux,in ubuntu you type sudo i
anyone knows what package contains 'isohybrid' command,theadmini did but no luck isohybrid command not found
hi,hm ff is really fast but the net seems slower than on windows
can somebody in here that knows how to use xchat help me out on how to connect to a channel,do i have to somehow log onto the server before i can join channel
there is t look at ls ld tmp but i don't know what t means,oh look at the info page for ls it's explained there
can i wipe clean fstab and do a clean sudo bash diskmounter,in english
like how vnc works for windows,x11vnc
separate computer i hope,i think it'd mess up more than it might help but i'll hold off on anything final until eyezak comments
suggest a better logo,previous one was awesome the human one
chmod x armyops230linuxrun,then your sourceslist is broken
heh,just answer my question
djib i ment other types of mp3 playersi have no desire to buy a crapple product p,aptzip oo
that depends,clamav
brandon if you want it optomised then compile your own kernel,hi icesword
is there any app i can use on ubuntu to upload audiovideo to a disney mix player,do you just need to convert media
sudo fdisk l to determine partitions blkid to get the uuid's for the partitions,and root should be hd02 if it's on sda3
can anyone tell me if gimp is installed by default on 1204,no but you can easily install it from software center
can someone post the ubuntu bare installation please,httpshelpubuntucomcommunityinstallationlowmemorysystems
preload is my windows xp data folder i keep mp3 and audio etc,hehe zdravo brate samo sek pomozhichu ti
are there any linux scanner on linux that can detect win virus,avg clamav
grr my computer clock is still too slow,time to start programing your bios
i am a newbie could anyone rell me how to use anrpm file,man alien
how can i copy cd iso image to a usb flashdisk in windows,unetbootin
quick questionwhat do you folks think is the irc client in this screenshot httpbetalinuxbegfxuselinuxscreenshot10791png,as well as the font it looks crisp i like it
what is ccsm,glycan click power button top right system settings compizconfig manager after installing ccsm
thank you,winff
er a program,system monitor
thank you flannel the newer versions of 17 fixed some irq issues i had,probably the last 2617y the ubuntu specific patches mostly drivers
check your theme,tried changing theme no effect can't change icon sets
netstat anp,i told you
heloo,aptitude install curl i guess
how does one set the default language for gtk apps for a user like firefox,gutsy eternalp
yay working xorgcompositerenderaccelglx,what hardware
i prefer terminal based ftp,lftp ftp are not terminal p
where do i get the nonfree version of unzip,use 7zip
the ones ive seen that dont need any drivers should work,thx gonna go to shop right now
also check httptldporghowtobashprompthowto,that didn't work either
try this listhttpwwwultimatebootcdcom dunno,thanks
how can i enable a repository from command line,thanks
ubuntu,the command is 'adduser' see its manpage for more help
is there anything better for a 'remote' linux desktop session than vnc,nx or nomachine
please tab complete people's nicknames or they wont see your response,zykotab
does any one belive in net privacy,ubuntuofftopic
does anyone know something about automix,auto what
hey anyone here,is this a good place to get help with ubuntu server
install something else,not sure if you can create a redirection from the regular port 80 to another port
hello,is someone know the login and password in xubuntu live cd beta 6 please
nslookup should return 172001 or 19216903 but a public ip,neutrinux what is in your etchosts and etcresolvconf
fdisk l,rm rf mntwindows
from command line sudo gedit filename,ye used sudo before the command to install
uhmm mke2fs perhaps,what
que,solo ingles
thanks,update manager
is there any way to suspend as in ctrlz a program in the shell but still leave it running,ctrlz then bg
when i ssh in why do i have less permissions,cd
didn't see that,yesterday
hi icesword,hmm nice
what to do,try 'sudo dpkg configure a'
is openbox tiling i've used it for years and never realised it had those features,i thought so you'd know better than me if you've been using it for years
probably you need something like mplayer with the package with the win32 dlls look at the marillat repository,ok thanks
subversion,almost the same thing yes
whats the problem,you still there
tiff,cant be modified
oh god,my frickin ex gf called
what is a paralle,why not just use pidgin
wuts a good ftp client for ubuntu,i cant aptget gftp tho
you can't do it from the recovery console if you filesystem is read only,reboot hold shift during boot and when you see the grub menu press 'e' to edit the first entry
any experience about hardwareraid and lucid server edition which chipsets are supported,chipsets which cards do you mean
anyone why would a bug fix be pushed without a bug in launchpad,httpslaunchpadnetbugs915210
wtf,watch the language
help undelete,can we undelte deleted documents folder rm rf documents
that's not an issue related to ubuntu specifically,you can put any ttf fonts you can acquire into your ttf directory
how can i check wether im running xorg or xfree,ls etcx11xorgconf
the cd gets stuck after detecting hardware,vector linux will run ok on that hardware
oops,have a
my monitor keeps saying out of range,use the alternate cd
what,aptget source somepackage gets you the source for somepackage
wine isn't available for ppc i don't know what playonlinux is,sorry wrong person
me he caido,alguien me sabria ayudar cn mi problema
hi,can i set up wpa2 using ubuntu or is it purely a hardware thing
cause i think im still running 710,it isn't going to be fully released until next month
then from what i've heard lxde is probably going to be your best bet for a modern gui,thanks i just looked at the screenshots good work guys i will check it out
ubuntu won't allow me to run 'users and groups' and about 50 of the applications in systemadministration,try sudo appname
how goes it,ask your question
i bet that will take forever,why
po,join ubuntubr
hmm,aptcache search
how do i delete something that i downloaded using sudo aptget install blah,whats the delete command
can anyone see me,yes
doesn't work in what way,i do 'print test page' it says it is printing but the printer doesnt do anything
that isn't a ubuntu support question,sorry looks for just an advice or an opinion
scguy318 there is a video0 it is my tv card,doh not sure then haven't played with any vid editing in linux yet sorry
ln s fullpathtowinedir,np
how easy is it to replace ubuntu with suse,as easy as it is to replace any other distro
without the source that is,i think dapper has it
well i guess that page just shows software requirements,i just read it should be able to run on a 300mhz 128mb ram for kde 33
khenstoth it looks as though i didnd have any sound device,everyone can somebody help i cant here anything on my computer
wtf,it's a wikipedia term there is prodigy prdigy and prgidy and they're all the same guy
r u on ubuntu or win,try monodevelop
it seems so have you been to the wiki,wikiubuntucom
in order to do what surf the web from the commandline lynx can do that but it hurts,heh want nothing to fancy
sort u,use sed or tr
i installed a cd 'strategy' using wine,for problems with wine most of the time you get them solved quicker at the winehq channel
where how,ubuntuguideorg
used checkgmail before but wonder if there is anything better out there,if you use google chrome you can enable it on gmailcom
please test my repo,you can test it yourself
server ircopenjokenet,server ircopenjokeorg
why isn't emerald included with ubuntu by default,not everyone wants emarald
'startx' or 'sudo service lightdm start',both or more likely just useful for diagnostics for you right now
is that what thats for o,xd
what's the channel for password related issues,for ubuntu
1010 is no longer supported,i am unable to upgrade due to zend server not installing correctly on newer versions
ubuntu 904 has a partitioner right how would i access it in the absence of a livecd,install gparted
meerkat for file in image do mv file afiledone,so i cd to the directory and do that
how do i give my self write permissions to etc,as a normal user
thanks to the guy who told me to install xgl server works smoothly,next question how do i controll the cube with my laptop ie doesnt have a mousebutton 3
didn't i play you in tremulous onse or twice,if so nice to see you in ubuntu
i already have a dock i dont wanna cliutter it with minamised apps,gnome do dock
someone rooted a nexus 7 to put ubuntu on it,i'm thinking of getting a nexus 7 if i can find a good enough black friday deal
thx,np
open synaptic in the edit menu fix broken package or use terminal sudo aptget install f,thanks
how to use updatercd,did you check its man page
do you have noscript or something similar active the url it sends me to is httpearthgooglecomintlenukdownloadearthhtml,yes that's the url no script is not active but adblock is
is there a way to see the packages which update manager most recently installed,use 'cat varlogdpkglog tail'
tried a guide online and it failed me,ive used a script intsead of fstab before but no real reason to do that
how is it packaged,winehq provide packages of the latest release of wine for ubuntu see their download page for instructions
anybody know why my update manager freezes every time i try to upgrade,yep as i said
dose anybody have the url for ubuntu restricted packages to get help with playin mp3's,yea tell me about mp3
shutdown send sigterm so friendly programs should close nicely,so 'sudo shutdown send sigterm now'
yes i checked that,if howlingmadhowie can't set you straight give the 32bit a shot 64's more hassle than it's worth
can it yes will it without you telling it to no it shouldn't,probably just wasn't the primary one the 2nd drive would be chainloaded through grub
how do i install rpm,bad idea
is there any way to allow ubuntu to run a program as root without typing in a password,i want to be able to turn offon my wireless without putting in a password
how can i log out without a system tray,ctrlaltdel
if you need ntfs read accces use the captiventfs driver,you mean write
does this only happen when you log in x can you log in on the text console,havnt't tried that yet
hey all,i need some help
right click and hit edit menu,right click on the menu
i think there's a specific option in grub for ntfs,so if i redo it with the ntfs option do you think i'll be able to mount it
does anyone have got a wave invite,anyone has got a wave invite
is there any way to downgrade compiz to 086 9 is slow but keep unity 3d,purge remove and install again
just once,you always have the term through ctrlaltf2 f7 to get back
hello everybody can anybody help me to install flash player on my ubuntu 1204 please,i am new to linux and seeking help
how stable is jaunty alfa for install on work laptop,not very it's alpha for a reason don't use it in a production environment please
thanks,did a search in synaptic
now,well actually it's mathematically impossible
thanks flannel looking,check the 'screen' section in etcx11xorgconf
hi there,maybe this is not the place to ask but how come firefox 35 does not remember my passwords
lts usr13,hey guys what is lts
anyone else figthing runaway npviewerbin,thats flash being a baddddd boy
it just went to a new line,thats fine the kill command will do that
how do i print all the images in one folder oneone answer please,how do i print all the images in one folder some one knows
oo,p
how do i bypass a local transparent proxy server,how do i install opera
what's the difference between ubuntu and windows,we all use ubuntu no one windows
how do you talk to that ubuntu computer,you mean ubotu
anyone have good experience playing counter strike 20 on ubuntu with wine,get wine from the wine repo
winners use chatzilla,fail
hello,hi
yes consequences of a sigkill are dire httppartmapsorgeraunixawardhtmluuk9letter,cool thanks
nooo,help us all
jeff how to install pear log i am using php5,i dont know
how can i measure how much cpu a command used trying to figure out what scp cipher is kindest,'time' will report cpu time
imho postfix,thanks
i see you writing my name do you know what i'm talking about,no thought the bot had something in regards to what u were asking i am working on something myself now
i want to make a live cd with multiple distros on it,i didn't know you could do that with a cd but you can with a usb
hi folks does anyone know a program which can extract text ocr from a little png file,there's also gnomescan
maybe can i use the 4 gb ram in 32 bit,not all of it will get used most but not all
i installed kubuntu and i hate it how do i get it off my system,by installing something else like a mojave lol over it
aptsearch setupx maybe,you arent trying to sudo aptsearch are you
general questionwhy in linux is it hard to install programs if its not in the repositories,general questionwhy in linux is it hard to install programs if its not in the repositories
thanks didn't know wether ther was a bot here,np
hello how do i open a file with the extension r00 r01,how do i open a file with the extension r00 r01
spotify crashes after loggin in running 1004 what causes this,run it from a terminal do you get any error output
hey guys what is lts,long term support
does anyone know how the upgrade to 114 works will i lose files settings etc,no you will not loose them if you do the update on the desktop
has ubuntu the option to install a minimalistic system,sure via alternate or minimal installer
can someone tell me why this happened,where this come from
i am attempting to run ubuntu after having installed it through wubi,yes only ubuntu the pc has windows xp installed on it
hello can ubuntu get a virus or spyware,but 'get' you mean scan
i mean switch,try the hardware channel
fdisk,can i do it through partition magic
i installed virtualbox now where is the application,kosharil yes launcher
how to check for the os details on the terminal like linux 26173618,what details uname a is one
mount proc,mount sys
anyone get dreamweaver cs3 to run under wine,nope best i could get was mx
yes,if its an issue with the vmware config script on ubuntu i might know the solution p
if you're looking at software center thats where it gets its application screenshots from,ok
you choud ask about c on c,i thought this is c
slt,sa va
does any1 know how 2 install wine on a 64 bit ubuntu,ytou can always build it yourself
i think there's a menu editor under settings,i tried the menu editor but strangely this particular entry doesn't appear in it
oh word,1204 april
ty all very much for the help and i hope i nvr have to use this again 3,congratulations for sticking with it
do you own any small pets,nuh uh
f6 to detach and keep your programs running,ctrlak to kill everything
find the login screen administration tool i'm not sure where it is in xfce,or type sudo gdmsetup' in a terminal
i also asking for wireless assistancewhat problems are you having,sounds like the same stage im at what card are you using ive got an aria extreme bcmlw5sys driver
can anyone please help me out by telling me why its so difficult to obtain vga drivers for linux,which chipset
i am on that issue,but on 1010
si peut etre dans ton interesse de joine ubuntufr,queest ce que vous voulez faire
sou do brasil,join ubuntubr
anyone else having problems with flashyoutubes stopping working or being very unreliable after recent updates,on x8664
does someone know how to retrieve the 'speaker icon' in gnome menu bar,right click the panel and click add to panel
can somebody tell me where to find the irc logs for this channel,am i just missing it
what type should the partition for ubuntu be,ext3 with a swap partition roughly twice the size of your amount of ram
